false_positive_rate,true_positive_rate,partition,feature_set
0.034264257,0.324978392,train,full features
0.034264257,0.325410545,train,full features
0.034498944,0.325410545,train,full features
0.034498944,0.325842697,train,full features
0.034733631,0.325842697,train,full features
0.034733631,0.327571305,train,full features
0.034968317,0.327571305,train,full features
0.034968317,0.329299914,train,full features
0.035203004,0.329299914,train,full features
0.035203004,0.331892826,train,full features
0.035437691,0.331892826,train,full features
0.035437691,0.3366465,train,full features
0.035672377,0.3366465,train,full features
0.035672377,0.339671564,train,full features
0.035907064,0.339671564,train,full features
0.035907064,0.340535869,train,full features
0.036141751,0.340535869,train,full features
0.036141751,0.341832325,train,full features
0.036376437,0.341832325,train,full features
0.036376437,0.34485739,train,full features
0.036611124,0.34485739,train,full features
0.036611124,0.345289542,train,full features
0.037080498,0.345289542,train,full features
0.037080498,0.349178911,train,full features
0.038488618,0.349178911,train,full features
0.038488618,0.350907519,train,full features
0.038723304,0.350907519,train,full features
0.038723304,0.352636128,train,full features
0.038957991,0.352636128,train,full features
0.038957991,0.35911841,train,full features
0.039192678,0.35911841,train,full features
0.039192678,0.360847018,train,full features
0.039427364,0.360847018,train,full features
0.039427364,0.361711322,train,full features
0.039896738,0.361711322,train,full features
0.039896738,0.363439931,train,full features
0.040131425,0.363439931,train,full features
0.040131425,0.369057908,train,full features
0.040366111,0.369057908,train,full features
0.040366111,0.370786517,train,full features
0.040600798,0.370786517,train,full features
0.040600798,0.374243734,train,full features
0.041070171,0.374243734,train,full features
0.041070171,0.374675886,train,full features
0.041304858,0.374675886,train,full features
0.041304858,0.375108038,train,full features
0.041539545,0.375108038,train,full features
0.041539545,0.37554019,train,full features
0.041774231,0.37554019,train,full features
0.041774231,0.376404494,train,full features
0.042478291,0.376404494,train,full features
0.042478291,0.378565255,train,full features
0.043182352,0.378565255,train,full features
0.043182352,0.381158168,train,full features
0.043417038,0.381158168,train,full features
0.043417038,0.385911841,train,full features
0.043651725,0.385911841,train,full features
0.043651725,0.388072602,train,full features
0.043886412,0.388072602,train,full features
0.043886412,0.388936906,train,full features
0.044121098,0.388936906,train,full features
0.044121098,0.391097666,train,full features
0.044825158,0.391097666,train,full features
0.044825158,0.395419188,train,full features
0.045059845,0.395419188,train,full features
0.045059845,0.397147796,train,full features
0.045294532,0.397147796,train,full features
0.045294532,0.397579948,train,full features
0.045529218,0.397579948,train,full features
0.045529218,0.402333621,train,full features
0.045763905,0.402333621,train,full features
0.045763905,0.403630078,train,full features
0.046233279,0.403630078,train,full features
0.046233279,0.404926534,train,full features
0.046467965,0.404926534,train,full features
